RA,FASE_NUM,TEMPO_PROGRAMA,IDA,IEG,IAA_MODELO,IPS,IPV,PROB_RISCO_2025,RANK_RISCO_2025,PERCENTIL_RISCO_2025,RANK_RISCO_FASE_2025,PERCENTIL_RISCO_FASE_2025,PRIORIDADE_2025,STATUS_MODELO,MOTIVO_NAO_ELEGIBILIDADE
RA-672,1,3,0.0,3.95256917,7.918,6.26,4.496666667,0.9892975116883758,1,100.0,1,100.0,Muito alta,Elegível,
RA-798,2,2,4.75,3.5064935065,6.834,7.51,2.943333333,0.9890162890774421,2,99.91,1,100.0,Muito alta,Elegível,
RA-1071,2,1,4.5,4.188311688500001,8.002,7.51,2.996666667,0.9890156393450883,3,99.81,2,99.46,Muito alta,Elegível,
RA-484,3,2,0.0,3.9141382866666663,8.334,2.51,3.1225,0.9858457380985918,4,99.72,1,100.0,Muito alta,Elegível,
RA-995,1,1,2.0,5.3896103895,10.002,5.635,4.25,0.9854891136213378,5,99.62,2,99.46,Muito alta,Elegível,
RA-497,2,3,1.0,6.095238095,7.502,5.63,3.506666667,0.9837360741226151,6,99.53,3,98.92,Muito alta,Elegível,
RA-750,1,3,3.75,5.938735178,6.249,4.38,3.176666667,0.9822950791257281,7,99.43,3,98.92,Muito alta,Elegível,
RA-863,0,1,5.5,3.159090909,8.502,2.51,4.333333333,0.979660539957141,8,99.34,1,100.0,Muito alta,Elegível,
RA-1507,2,0,5.0,4.448051948,6.918,7.51,3.776666667,0.9785026594477912,9,99.24,4,98.38,Muito alta,Elegível,
RA-967,1,1,4.75,3.5714285715,9.502,7.51,4.995,0.9780067980839402,10,99.15,4,98.38,Muito alta,Elegível,
RA-558,3,2,3.0,3.7763975156666674,9.168,8.13,4.268,0.9773767007108874,11,99.05,2,99.53,Muito alta,Elegível,
RA-741,1,2,3.75,5.2964426875,8.418,5.005,4.223333333,0.9766007400463605,12,98.96,5,97.84,Muito alta,Elegível,
RA-947,0,1,4.5,7.619047619,9.002,7.51,4.58,0.9761883863193491,13,98.86,2,99.49,Muito alta,Elegível,
