RA,FASE_NUM,TEMPO_PROGRAMA,DEFASAGEM_ANALISE,STATUS_DEFASAGEM_2024,IDA,IEG,IAA_MODELO,IPS,IPP,IPV,INDE_2024,PEDRA_2024,PROB_RISCO_2025,RANK_RISCO_2025,PERCENTIL_RISCO_2025,RANK_RISCO_FASE_2025,PERCENTIL_RISCO_FASE_2025,PRIORIDADE_2025,PERFIL_RADAR,RISCO_OCULTO,PONTO_CEGO,STATUS_MODELO
RA-672,1,3,-1,Com defasagem,0.0,3.95256917,7.918,6.26,6.041666667,4.496666667,4.2118138341,Quartzo,0.9892975116883758,1,100.0,1,100.0,Muito alta,Crítico persistente,False,False,Elegível
RA-798,2,2,-1,Com defasagem,4.75,3.5064935065,6.834,7.51,5.0,2.943333333,4.6743653679,Quartzo,0.9890162890774421,2,99.91,1,100.0,Muito alta,Crítico persistente,False,False,Elegível
RA-1071,2,1,-1,Com defasagem,4.5,4.188311688500001,8.002,7.51,4.166666667,2.996666667,4.8048623378,Quartzo,0.9890156393450883,3,99.81,2,99.46,Muito alta,Crítico persistente,False,False,Elegível
RA-484,3,2,0,Sem defasagem,0.0,3.9141382866666663,8.334,2.51,3.4375,3.1225,3.8354776573333336,Quartzo,0.9858457380985918,4,99.72,1,100.0,Muito alta,Risco oculto,True,False,Elegível
RA-995,1,1,-2,Com defasagem,2.0,5.3896103895,10.002,5.635,7.1875,4.25,5.110372077899999,Quartzo,0.9854891136213378,5,99.62,2,99.46,Muito alta,Crítico persistente,False,False,Elegível
RA-497,2,3,-2,Com defasagem,1.0,6.095238095,7.502,5.63,5.625,3.506666667,4.4960809524,Quartzo,0.9837360741226151,6,99.53,3,98.92,Muito alta,Crítico persistente,False,False,Elegível
RA-750,1,3,-2,Com defasagem,3.75,5.938735178,6.249,4.38,4.0625,3.176666667,4.542230369,Quartzo,0.9822950791257281,7,99.43,3,98.92,Muito alta,Crítico persistente,False,False,Elegível
RA-863,0,1,-1,Com defasagem,5.5,3.159090909,8.502,2.51,4.6875,4.333333333,4.6684348484,Quartzo,0.979660539957141,8,99.34,1,100.0,Muito alta,Crítico persistente,False,False,Elegível
RA-1507,2,0,-1,Com defasagem,5.0,4.448051948,6.918,7.51,4.583333333,3.776666667,5.046077056300001,Quartzo,0.9785026594477912,9,99.24,4,98.38,Muito alta,Crítico persistente,False,False,Elegível
RA-967,1,1,-1,Com defasagem,4.75,3.5714285715,9.502,7.51,5.78125,4.995,5.442610714300001,Quartzo,0.9780067980839402,10,99.15,4,98.38,Muito alta,Crítico persistente,False,False,Elegível
RA-558,3,2,-2,Com defasagem,3.0,3.7763975156666674,9.168,8.13,6.09375,4.268,5.048054503133334,Quartzo,0.9773767007108874,11,99.05,2,99.53,Muito alta,Crítico persistente,False,False,Elegível
RA-741,1,2,-1,Com defasagem,3.75,5.2964426875,8.418,5.005,5.833333333,4.223333333,5.0795885374,Quartzo,0.9766007400463605,12,98.96,5,97.84,Muito alta,Crítico persistente,False,False,Elegível
RA-947,0,1,-1,Com defasagem,4.5,7.619047619,9.002,7.51,5.625,4.58,6.053509523800001,Ágata,0.9761883863193491,13,98.86,2,99.49,Muito alta,Crítico persistente,False,False,Elegível
RA-911,1,1,-2,Com defasagem,4.5,4.772727273,8.002,7.51,6.041666667,4.726666667,5.4552454547,Quartzo,0.9753381193949776,14,98.77,6,97.3,Muito alta,Crítico persistente,False,False,Elegível
RA-1278,0,0,-1,Com defasagem,7.5,4.1666666665,9.002,3.76,5.0,4.173333333,5.444199999900001,Quartzo,0.9751207722487699,15,98.67,3,98.98,Muito alta,Crítico persistente,False,False,Elegível
RA-392,4,2,-1,Com defasagem,1.0,5.414731682,9.585,5.635,3.5,3.545,4.3639463364,Quartzo,0.9737178294965932,16,98.58,1,100.0,Muito alta,Crítico persistente,False,False,Elegível
RA-705,1,2,-1,Com defasagem,3.5,6.4285714285,9.002,5.005,5.625,4.226666667,5.294247619100001,Quartzo,0.9736301949447813,17,98.48,7,96.76,Muito alta,Crítico persistente,False,False,Elegível
RA-1302,0,0,0,Sem defasagem,4.0,5.416666667,10.002,2.51,6.25,4.996666667,5.758866666800001,Quartzo,0.9688051653842628,18,98.39,4,98.47,Muito alta,Risco oculto,True,False,Elegível
RA-608,2,2,0,Sem defasagem,4.25,3.054347826,9.002,6.885,7.1875,5.053333333,5.778986231800001,Quartzo,0.9679743279748573,19,98.29,5,97.84,Muito alta,Risco oculto,True,False,Elegível
RA-731,2,3,-1,Com defasagem,2.5,4.188311688500001,9.502,4.375,5.78125,4.835,4.7704873377000006,Quartzo,0.9659567535061807,20,98.2,6,97.3,Muito alta,Crítico persistente,False,False,Elegível
RA-1392,0,0,-1,Com defasagem,0.0,5.625,9.002,7.51,7.5,7.0,5.4262,Quartzo,0.965428405417946,21,98.1,5,97.96,Muito alta,Crítico persistente,False,False,Elegível
RA-1307,0,0,0,Sem defasagem,5.5,5.833333333500001,10.002,6.255,6.25,5.383333333,6.5940333333000005,Ágata,0.9647238251954209,22,98.01,6,97.45,Muito alta,Risco oculto,True,False,Elegível
RA-754,0,2,-2,Com defasagem,6.25,6.25,8.502,5.625,2.5,4.75,5.6127,Quartzo,0.9631596717924664,23,97.91,7,96.94,Muito alta,Crítico persistente,False,False,Elegível
RA-1338,0,0,-1,Com defasagem,3.0,8.6607142855,8.002,7.51,6.875,5.33,6.1368428571,Ágata,0.9628486566261704,24,97.82,8,96.43,Muito alta,Crítico persistente,False,False,Elegível
RA-1337,0,0,-2,Com defasagem,6.0,4.722222222,8.002,7.51,6.875,5.66,6.015144444400001,Ágata,0.9627379280248126,25,97.72,9,95.92,Muito alta,Crítico persistente,False,False,Elegível
