RA,PEDRA_2022,PEDRA_2023,PEDRA_2024,PEDRA_ORDEM_2022,PEDRA_ORDEM_2023,PEDRA_ORDEM_2024,DELTA_PEDRA_22_23,DELTA_PEDRA_23_24,DELTA_PEDRA_22_24,MOVIMENTO_22_24
RA-40,Ametista,Ametista,Ametista,3,3.0,3.0,0.0,0.0,0.0,Manutenção
RA-42,Ágata,Ágata,Ametista,2,2.0,3.0,0.0,1.0,1.0,Avanço
RA-45,Ametista,Topázio,Topázio,3,4.0,4.0,1.0,0.0,1.0,Avanço
RA-48,Ametista,Ametista,Topázio,3,3.0,4.0,0.0,1.0,1.0,Avanço
RA-52,Ametista,Ametista,Topázio,3,3.0,4.0,0.0,1.0,1.0,Avanço
RA-56,Topázio,Topázio,Topázio,4,4.0,4.0,0.0,0.0,0.0,Manutenção
RA-57,Ametista,Ágata,Ametista,3,2.0,3.0,-1.0,1.0,0.0,Manutenção
RA-58,Topázio,Ametista,Topázio,4,3.0,4.0,-1.0,1.0,0.0,Manutenção
RA-64,Ametista,Ametista,Topázio,3,3.0,4.0,0.0,1.0,1.0,Avanço
RA-78,Ametista,Ágata,Topázio,3,2.0,4.0,-1.0,2.0,1.0,Avanço
RA-80,Ametista,Ametista,Topázio,3,3.0,4.0,0.0,1.0,1.0,Avanço
RA-81,Ametista,Ametista,Topázio,3,3.0,4.0,0.0,1.0,1.0,Avanço
RA-85,Ágata,Ametista,Ágata,2,3.0,2.0,1.0,-1.0,0.0,Manutenção
RA-87,Topázio,Topázio,Topázio,4,4.0,4.0,0.0,0.0,0.0,Manutenção
RA-90,Topázio,Topázio,Topázio,4,4.0,4.0,0.0,0.0,0.0,Manutenção
RA-91,Ágata,Ametista,Ametista,2,3.0,3.0,1.0,0.0,1.0,Avanço
RA-92,Ágata,Ametista,Topázio,2,3.0,4.0,1.0,1.0,2.0,Avanço
RA-94,Topázio,Ametista,Topázio,4,3.0,4.0,-1.0,1.0,0.0,Manutenção
RA-103,Topázio,Topázio,Topázio,4,4.0,4.0,0.0,0.0,0.0,Manutenção
RA-106,Ametista,Ametista,Ametista,3,3.0,3.0,0.0,0.0,0.0,Manutenção
RA-107,Ágata,Ágata,Ágata,2,2.0,2.0,0.0,0.0,0.0,Manutenção
RA-110,Topázio,Topázio,Topázio,4,4.0,4.0,0.0,0.0,0.0,Manutenção
RA-111,Topázio,Ametista,Topázio,4,3.0,4.0,-1.0,1.0,0.0,Manutenção
RA-112,Ametista,Ametista,Topázio,3,3.0,4.0,0.0,1.0,1.0,Avanço
RA-115,Quartzo,Ágata,Quartzo,1,2.0,1.0,1.0,-1.0,0.0,Manutenção
RA-116,Ágata,Ágata,Ágata,2,2.0,2.0,0.0,0.0,0.0,Manutenção
RA-121,Ametista,Ágata,Ametista,3,2.0,3.0,-1.0,1.0,0.0,Manutenção
RA-123,Ametista,Ágata,Ágata,3,2.0,2.0,-1.0,0.0,-1.0,Recuo
RA-125,Ametista,Ágata,Ágata,3,2.0,2.0,-1.0,0.0,-1.0,Recuo
